Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
S00687,18,female,49,reading/writing,18,yes,95.0,81.0,80.0,yes,medium,24,8,B
S00688,24,male,18,auditory,5,no,78.0,56.0,88.0,no,low,9,10,C
S00689,22,female,6,auditory,10,no,62.0,75.0,82.0,no,low,7,7,B
S00690,29,female,15,kinesthetic,4,yes,69.0,79.0,81.0,no,medium,20,8,B
S00691,27,female,42,reading/writing,4,yes,59.0,66.0,88.0,no,medium,19,5,C
S00692,28,female,12,visual,11,no,77.0,60.0,86.0,yes,high,24,8,C
S00693,27,female,20,visual,12,yes,55.0,99.0,87.0,yes,medium,30,6,A
S00694,24,female,38,reading/writing,2,yes,58.0,43.0,55.0,yes,low,19,4,D
S00695,20,female,35,kinesthetic,17,yes,62.0,51.0,79.0,no,high,3,8,D
S00696,26,male,13,kinesthetic,10,yes,83.0,85.0,87.0,yes,low,21,4,A
S00697,22,male,17,auditory,10,yes,93.0,77.0,92.0,no,medium,18,10,B
S00698,18,female,39,reading/writing,1,yes,90.0,50.0,78.0,no,low,6,10,D
S00699,23,female,29,reading/writing,17,no,77.0,47.0,57.0,no,low,4,5,D
S00700,24,male,17,visual,5,yes,55.0,58.0,59.0,yes,low,4,6,C
S00701,22,male,21,auditory,7,yes,71.0,48.0,50.0,no,medium,27,8,D
S00702,18,other,25,reading/writing,16,yes,69.0,70.0,85.0,yes,medium,16,8,B
S00703,29,female,24,auditory,20,yes,93.0,89.0,50.0,yes,medium,4,9,A
S00704,23,female,28,auditory,15,yes,74.0,76.0,72.0,yes,low,9,7,B
S00705,21,female,8,reading/writing,17,yes,60.0,69.0,69.0,yes,high,24,8,C
S00706,27,other,37,visual,18,yes,82.0,95.0,60.0,yes,medium,26,7,A
S00707,21,female,10,kinesthetic,6,yes,56.0,79.0,72.0,yes,medium,15,10,B
S00708,28,female,38,auditory,8,yes,63.0,98.0,52.0,no,medium,8,4,A
S00709,21,female,47,reading/writing,11,yes,56.0,40.0,90.0,no,medium,29,8,D
S00710,25,female,11,visual,1,yes,91.0,93.0,51.0,no,medium,17,8,A
S00711,22,male,22,auditory,16,yes,89.0,52.0,58.0,yes,low,6,4,D
S00712,21,female,39,reading/writing,13,yes,59.0,58.0,57.0,no,low,24,10,C
S00713,29,female,40,auditory,0,yes,56.0,75.0,72.0,no,medium,4,10,B
S00714,20,female,26,visual,9,no,88.0,59.0,52.0,yes,medium,20,4,C
S00715,18,male,43,reading/writing,13,no,53.0,95.0,90.0,yes,low,26,5,A
S00716,28,female,8,kinesthetic,11,yes,65.0,66.0,75.0,no,medium,17,5,C
S00717,20,male,38,kinesthetic,19,yes,52.0,63.0,58.0,yes,high,18,4,C
S00718,25,male,26,visual,2,yes,100.0,71.0,70.0,no,medium,3,7,B
S00719,26,female,19,auditory,12,yes,99.0,96.0,66.0,yes,medium,25,5,A
S00720,24,female,16,kinesthetic,1,no,59.0,94.0,98.0,yes,high,16,10,A
S00721,25,female,46,visual,6,no,53.0,56.0,95.0,yes,medium,9,5,C
S00722,19,male,37,reading/writing,5,no,78.0,44.0,62.0,no,low,6,8,D
S00723,21,female,38,auditory,9,yes,63.0,73.0,70.0,yes,medium,6,5,B
S00724,25,female,11,kinesthetic,10,yes,63.0,76.0,93.0,no,medium,30,6,B
S00725,25,male,7,visual,8,yes,63.0,88.0,84.0,yes,low,10,9,A
S00726,27,male,37,kinesthetic,13,yes,93.0,76.0,89.0,no,low,26,8,B
S00727,20,male,6,kinesthetic,6,yes,67.0,44.0,92.0,yes,high,28,5,D
S00728,29,male,37,auditory,10,yes,88.0,40.0,67.0,no,low,29,10,D
S00729,26,male,38,visual,13,yes,74.0,55.0,62.0,yes,high,13,8,C
S00730,21,male,48,auditory,4,yes,80.0,46.0,96.0,no,medium,5,5,D
S00731,29,female,43,auditory,20,yes,91.0,77.0,95.0,no,low,20,9,B
S00732,20,male,8,visual,2,yes,73.0,60.0,69.0,no,medium,20,8,C
S00733,24,female,35,visual,4,yes,86.0,85.0,96.0,yes,high,17,10,A
S00734,19,female,14,kinesthetic,2,no,91.0,77.0,67.0,yes,medium,1,7,B
S00735,24,male,18,reading/writing,12,yes,50.0,89.0,53.0,no,medium,2,8,A
S00736,26,male,45,reading/writing,2,yes,63.0,61.0,64.0,yes,medium,23,7,C
S00737,22,male,42,auditory,1,no,85.0,82.0,96.0,yes,medium,16,7,B
S00738,23,female,10,kinesthetic,4,no,64.0,82.0,81.0,no,medium,29,7,B
S00739,24,male,10,auditory,15,no,73.0,49.0,66.0,yes,medium,2,8,D
S00740,20,male,35,visual,8,yes,56.0,98.0,60.0,yes,low,21,9,A
S00741,21,male,22,kinesthetic,13,yes,86.0,40.0,66.0,yes,high,17,4,D
S00742,27,female,25,reading/writing,0,yes,97.0,94.0,87.0,yes,medium,12,4,A
S00743,23,male,12,reading/writing,16,yes,78.0,80.0,81.0,yes,low,11,5,B
S00744,29,male,20,auditory,5,no,79.0,91.0,76.0,yes,medium,5,7,A
S00745,28,male,9,auditory,2,no,86.0,97.0,76.0,no,low,30,5,A
S00746,21,male,11,visual,19,yes,74.0,41.0,95.0,yes,high,4,5,D
S00747,20,female,29,auditory,0,no,56.0,76.0,55.0,yes,high,30,9,B
S00748,26,other,46,kinesthetic,1,no,86.0,55.0,86.0,yes,medium,15,4,C
S00749,20,male,22,visual,12,yes,92.0,46.0,90.0,no,medium,14,9,D
S00750,19,male,6,kinesthetic,1,yes,94.0,52.0,81.0,no,high,24,6,D
S00751,27,female,6,auditory,14,yes,92.0,95.0,83.0,yes,medium,3,7,A
S00752,23,female,37,visual,7,yes,73.0,87.0,84.0,yes,high,22,7,A
S00753,21,male,21,kinesthetic,15,yes,81.0,63.0,96.0,no,high,2,9,C
S00754,21,male,15,auditory,14,no,60.0,69.0,94.0,yes,medium,8,10,C
S00755,25,male,21,kinesthetic,2,yes,56.0,56.0,75.0,yes,medium,11,10,C
S00756,18,other,19,kinesthetic,16,no,85.0,57.0,81.0,yes,high,4,10,C
S00757,21,male,25,kinesthetic,18,no,73.0,57.0,72.0,yes,low,4,6,C
S00758,23,female,44,visual,20,yes,63.0,51.0,78.0,no,low,1,10,D
S00759,20,female,45,auditory,20,yes,59.0,63.0,72.0,yes,medium,18,8,C
S00760,23,male,39,kinesthetic,4,no,65.0,83.0,64.0,no,high,25,4,B
S00761,27,female,18,kinesthetic,3,yes,89.0,90.0,88.0,yes,medium,1,10,A
S00762,18,female,44,visual,17,yes,87.0,89.0,100.0,yes,low,22,7,A
S00763,19,female,26,visual,17,yes,61.0,89.0,71.0,yes,medium,8,4,A
S00764,19,male,6,auditory,1,yes,93.0,54.0,59.0,yes,medium,1,6,D
S00765,18,female,42,reading/writing,14,yes,56.0,73.0,89.0,yes,low,23,5,B
S00766,23,male,6,auditory,18,no,50.0,79.0,54.0,yes,low,28,7,B
S00767,18,female,15,visual,1,no,61.0,62.0,51.0,no,low,5,8,C
S00768,29,female,49,auditory,0,yes,92.0,63.0,90.0,yes,low,15,8,C
S00769,27,male,46,reading/writing,5,yes,69.0,69.0,68.0,yes,low,20,6,C
S00770,21,male,18,reading/writing,9,yes,84.0,65.0,80.0,yes,low,23,8,C
S00771,26,male,37,visual,6,yes,73.0,47.0,76.0,no,medium,12,7,D
S00772,24,male,15,kinesthetic,20,no,53.0,97.0,97.0,yes,low,6,10,A
S00773,21,male,16,reading/writing,19,no,81.0,92.0,94.0,yes,high,11,8,A
S00774,27,male,46,auditory,19,yes,83.0,71.0,72.0,yes,high,28,7,B
S00775,18,male,5,reading/writing,5,yes,97.0,98.0,58.0,yes,high,26,6,A
S00776,26,female,43,reading/writing,3,no,95.0,80.0,55.0,yes,medium,1,5,B
S00777,27,male,11,auditory,14,yes,89.0,65.0,76.0,no,medium,29,5,C
S00778,26,female,19,visual,20,no,52.0,89.0,93.0,no,high,28,9,A
S00779,22,female,23,kinesthetic,19,no,73.0,87.0,55.0,no,medium,26,8,A
S00780,20,female,37,auditory,19,yes,61.0,46.0,96.0,yes,medium,24,9,D
S00781,23,female,12,kinesthetic,7,no,63.0,81.0,74.0,no,medium,17,4,B
S00782,25,male,35,kinesthetic,20,no,88.0,62.0,55.0,yes,low,23,6,C
S00783,24,female,10,visual,20,yes,63.0,42.0,97.0,yes,low,2,9,D
S00784,23,other,20,reading/writing,18,no,78.0,64.0,93.0,yes,low,7,10,C
S00785,24,female,9,reading/writing,12,yes,85.0,88.0,78.0,yes,low,7,10,A
S00786,28,male,49,kinesthetic,1,yes,90.0,100.0,53.0,yes,low,11,9,A
S00787,19,male,21,visual,9,yes,59.0,80.0,79.0,no,medium,25,6,B
S00788,25,female,5,visual,6,no,76.0,41.0,74.0,yes,medium,22,9,D
S00789,27,female,19,auditory,15,no,74.0,68.0,88.0,yes,medium,29,6,C
S00790,23,female,31,reading/writing,10,no,85.0,49.0,61.0,no,low,25,5,D
S00791,21,female,9,kinesthetic,12,no,78.0,68.0,74.0,yes,medium,22,4,C
S00792,28,female,8,reading/writing,16,yes,51.0,49.0,89.0,yes,medium,29,5,D
S00793,19,male,39,auditory,16,no,89.0,81.0,92.0,yes,medium,5,6,B
S00794,21,male,8,kinesthetic,14,yes,77.0,83.0,55.0,no,low,6,6,B
S00795,23,male,10,auditory,18,yes,56.0,93.0,58.0,no,low,23,5,A
S00796,25,male,36,reading/writing,13,no,76.0,42.0,84.0,yes,high,17,6,D
S00797,27,male,5,reading/writing,12,yes,55.0,73.0,81.0,no,medium,7,9,B
S00798,19,male,23,reading/writing,5,yes,90.0,54.0,81.0,yes,medium,23,8,D
S00799,29,female,13,reading/writing,7,yes,92.0,48.0,68.0,no,medium,25,5,D
S00800,22,male,14,auditory,10,yes,79.0,56.0,100.0,yes,low,29,9,C
S00801,22,male,20,auditory,2,yes,67.0,66.0,96.0,yes,high,23,10,C
S00802,26,male,26,reading/writing,2,yes,55.0,69.0,96.0,no,high,5,4,C
S00803,24,female,25,auditory,6,no,92.0,88.0,91.0,no,medium,16,7,A
S00804,21,male,43,kinesthetic,12,yes,75.0,64.0,87.0,yes,high,10,5,C
S00805,27,female,30,kinesthetic,16,yes,55.0,63.0,84.0,yes,low,4,7,C
S00806,27,male,12,kinesthetic,14,yes,54.0,46.0,51.0,yes,medium,2,6,D
S00807,26,female,45,auditory,0,no,88.0,80.0,72.0,yes,medium,5,7,B
S00808,23,male,29,reading/writing,18,yes,52.0,51.0,80.0,yes,medium,28,4,D
S00809,21,female,19,visual,2,yes,100.0,79.0,58.0,yes,medium,28,10,B
S00810,21,male,40,visual,9,no,71.0,93.0,50.0,yes,high,24,8,A
S00811,25,male,15,visual,6,no,89.0,43.0,58.0,no,high,13,9,D
S00812,19,male,28,auditory,12,yes,99.0,97.0,76.0,yes,high,19,4,A
S00813,23,male,22,reading/writing,18,no,76.0,89.0,59.0,no,low,15,7,A
S00814,29,male,43,visual,8,no,67.0,87.0,67.0,yes,high,17,4,A
S00815,18,male,17,reading/writing,1,yes,90.0,51.0,64.0,yes,medium,26,6,D
S00816,26,male,43,kinesthetic,4,yes,73.0,88.0,76.0,yes,medium,14,4,A
S00817,22,female,32,auditory,5,no,61.0,74.0,96.0,no,low,26,6,B
S00818,22,female,11,kinesthetic,20,no,56.0,99.0,51.0,yes,high,30,8,A
S00819,19,male,45,auditory,10,no,51.0,64.0,69.0,yes,high,10,9,C
S00820,23,female,13,kinesthetic,16,yes,56.0,65.0,69.0,no,low,10,10,C
S00821,20,female,33,auditory,12,no,76.0,47.0,98.0,yes,high,1,8,D
S00822,27,female,30,visual,16,no,100.0,58.0,51.0,no,medium,10,8,C
S00823,27,male,26,reading/writing,20,no,82.0,87.0,97.0,yes,medium,13,10,A
S00824,24,male,37,auditory,19,yes,57.0,95.0,85.0,yes,low,4,5,A
S00825,27,male,15,reading/writing,16,yes,86.0,88.0,92.0,no,low,29,8,A
S00826,29,male,18,auditory,15,yes,75.0,64.0,79.0,no,low,24,5,C
S00827,29,female,16,visual,0,yes,82.0,98.0,67.0,no,low,17,7,A
S00828,20,female,49,kinesthetic,15,yes,92.0,83.0,89.0,yes,medium,19,9,B
S00829,19,female,31,kinesthetic,4,no,96.0,55.0,75.0,yes,medium,27,7,C
S00830,20,female,17,visual,1,yes,72.0,81.0,62.0,yes,medium,6,9,B
S00831,22,male,33,reading/writing,11,yes,59.0,61.0,68.0,yes,medium,12,6,C
S00832,24,male,11,auditory,10,yes,51.0,62.0,88.0,no,high,20,4,C
S00833,25,male,11,reading/writing,19,yes,99.0,84.0,76.0,yes,medium,27,10,B
S00834,26,female,47,kinesthetic,1,yes,53.0,74.0,96.0,yes,medium,24,9,B
S00835,24,female,31,visual,7,yes,99.0,63.0,96.0,yes,low,0,9,C
S00836,21,male,21,kinesthetic,14,no,86.0,78.0,53.0,yes,low,28,10,B
S00837,19,male,45,auditory,12,no,99.0,59.0,57.0,no,medium,29,9,C
S00838,25,female,47,visual,20,no,94.0,82.0,89.0,yes,low,0,10,B
S00839,18,female,6,reading/writing,6,yes,65.0,40.0,95.0,no,high,20,5,D
S00840,19,female,25,reading/writing,2,no,56.0,74.0,62.0,yes,low,22,9,B
S00841,28,male,32,auditory,17,yes,89.0,90.0,89.0,yes,medium,7,10,A
S00842,24,other,33,visual,15,yes,80.0,61.0,52.0,yes,medium,3,8,C
S00843,28,male,23,kinesthetic,2,yes,89.0,81.0,56.0,yes,low,2,4,B
S00844,26,female,7,reading/writing,17,yes,92.0,100.0,66.0,yes,medium,15,6,A
S00845,19,female,12,kinesthetic,19,no,95.0,98.0,88.0,no,high,16,4,A
S00846,26,male,27,auditory,13,yes,100.0,61.0,92.0,yes,high,18,10,C
S00847,21,female,40,visual,18,no,59.0,51.0,76.0,no,high,15,8,D
S00848,19,male,26,visual,14,no,94.0,99.0,67.0,yes,low,30,7,A
S00849,24,male,48,auditory,11,no,90.0,66.0,81.0,yes,medium,7,10,C
S00850,29,female,31,auditory,4,no,89.0,97.0,89.0,no,medium,18,6,A
S00851,29,male,30,visual,14,yes,55.0,65.0,65.0,yes,medium,0,6,C
S00852,21,male,37,kinesthetic,1,no,100.0,58.0,56.0,yes,medium,18,4,C
S00853,18,male,34,kinesthetic,7,no,100.0,74.0,100.0,no,high,20,7,B
S00854,22,female,38,reading/writing,14,yes,79.0,92.0,95.0,yes,medium,28,4,A
S00855,28,male,26,visual,4,yes,98.0,62.0,88.0,yes,low,7,9,C
S00856,25,female,37,auditory,4,yes,93.0,63.0,60.0,no,low,29,5,C
S00857,21,female,45,visual,6,yes,76.0,86.0,52.0,yes,high,30,7,A
S00858,27,female,46,visual,14,no,85.0,59.0,69.0,yes,medium,24,6,C
S00859,22,male,21,reading/writing,6,no,67.0,50.0,67.0,no,medium,10,7,D
S00860,20,female,14,auditory,2,no,97.0,67.0,56.0,yes,low,24,10,C
S00861,27,male,34,kinesthetic,9,no,73.0,84.0,81.0,yes,low,17,7,B
S00862,24,female,22,auditory,5,no,76.0,85.0,69.0,yes,low,8,4,A
S00863,28,female,36,kinesthetic,9,no,85.0,53.0,57.0,no,medium,13,7,D
S00864,27,female,42,visual,5,yes,80.0,48.0,78.0,yes,medium,6,8,D
S00865,25,male,36,kinesthetic,17,no,74.0,96.0,84.0,no,high,17,10,A
S00866,22,female,35,reading/writing,20,yes,95.0,93.0,62.0,yes,low,19,5,A
S00867,24,other,47,auditory,1,no,73.0,94.0,71.0,yes,medium,15,10,A
S00868,23,female,22,visual,7,yes,51.0,51.0,93.0,yes,high,5,6,D
S00869,18,female,26,reading/writing,15,yes,52.0,80.0,57.0,yes,medium,22,5,B
S00870,22,female,46,reading/writing,8,no,98.0,80.0,67.0,yes,high,9,9,B
S00871,21,male,27,visual,17,yes,95.0,99.0,81.0,no,low,13,6,A
S00872,21,male,44,reading/writing,18,no,87.0,64.0,86.0,yes,low,4,4,C
S00873,21,female,8,auditory,12,no,85.0,71.0,73.0,yes,medium,25,9,B
S00874,19,male,19,visual,8,no,84.0,44.0,100.0,no,medium,24,4,D
S00875,28,male,18,auditory,17,yes,87.0,69.0,81.0,yes,medium,17,9,C
S00876,28,female,13,kinesthetic,5,yes,87.0,57.0,60.0,yes,medium,12,8,C
S00877,19,female,20,auditory,20,yes,76.0,59.0,77.0,yes,low,13,7,C
S00878,28,male,29,kinesthetic,5,yes,90.0,59.0,96.0,no,high,15,5,C
S00879,27,male,32,visual,2,yes,90.0,60.0,69.0,yes,low,20,4,C
S00880,24,male,12,reading/writing,17,no,76.0,74.0,81.0,yes,medium,23,4,B
S00881,25,female,48,kinesthetic,12,no,74.0,53.0,60.0,yes,low,7,7,D
S00882,21,female,34,kinesthetic,6,yes,54.0,84.0,99.0,yes,medium,17,6,B
S00883,24,male,5,visual,7,yes,59.0,81.0,63.0,no,low,24,10,B
S00884,28,male,44,visual,10,yes,56.0,41.0,93.0,no,medium,4,7,D
S00885,27,male,30,auditory,17,yes,75.0,63.0,61.0,yes,high,14,7,C
S00886,18,male,49,reading/writing,18,no,96.0,58.0,80.0,yes,medium,27,4,C
S00887,26,male,18,auditory,8,yes,72.0,48.0,98.0,yes,medium,4,6,D
S00888,29,male,20,visual,17,no,69.0,52.0,58.0,yes,low,15,10,D
S00889,26,female,45,kinesthetic,1,yes,98.0,41.0,52.0,yes,high,26,4,D
S00890,25,male,46,auditory,15,yes,70.0,60.0,76.0,yes,medium,4,4,C
S00891,21,female,7,reading/writing,15,no,76.0,82.0,58.0,no,medium,15,10,B
S00892,28,female,21,visual,3,no,85.0,69.0,86.0,yes,medium,0,8,C
S00893,20,female,35,kinesthetic,3,no,72.0,94.0,100.0,yes,medium,6,10,A
S00894,19,female,36,visual,16,no,67.0,77.0,63.0,yes,low,16,4,B
S00895,20,male,42,reading/writing,19,no,68.0,95.0,77.0,yes,high,23,5,A
S00896,18,female,11,visual,13,yes,86.0,41.0,94.0,yes,medium,14,10,D
S00897,24,female,33,reading/writing,10,no,92.0,61.0,87.0,yes,low,23,5,C
S00898,29,male,7,kinesthetic,19,yes,75.0,99.0,94.0,yes,medium,10,10,A
S00899,22,male,47,auditory,13,no,60.0,94.0,80.0,yes,low,4,4,A
S00900,26,female,31,visual,20,yes,89.0,45.0,64.0,yes,high,13,10,D
S00901,26,male,44,kinesthetic,9,yes,83.0,69.0,78.0,yes,low,17,4,C
S00902,20,other,38,auditory,1,yes,55.0,99.0,77.0,yes,medium,13,7,A
S00903,25,male,5,visual,14,yes,66.0,79.0,96.0,yes,medium,9,7,B
S00904,19,male,39,visual,20,no,92.0,82.0,65.0,yes,medium,16,6,B
S00905,22,male,45,visual,5,no,69.0,72.0,74.0,no,low,8,4,B
S00906,19,male,45,auditory,19,no,59.0,54.0,75.0,yes,low,12,4,D
S00907,29,female,49,visual,13,yes,100.0,98.0,59.0,yes,low,27,5,A
S00908,25,male,44,auditory,3,yes,59.0,61.0,56.0,yes,low,1,7,C
S00909,28,male,44,reading/writing,18,no,70.0,66.0,54.0,no,medium,1,8,C
S00910,19,female,16,kinesthetic,7,yes,91.0,93.0,78.0,yes,high,27,10,A
S00911,18,female,45,kinesthetic,13,yes,86.0,49.0,77.0,yes,low,3,7,D
S00912,26,other,34,reading/writing,1,no,51.0,86.0,72.0,yes,low,20,10,A
S00913,20,male,16,reading/writing,1,yes,77.0,59.0,71.0,no,high,24,10,C
S00914,25,other,36,kinesthetic,16,no,81.0,96.0,76.0,yes,medium,24,6,A
S00915,23,male,35,visual,17,yes,58.0,66.0,67.0,yes,medium,19,5,C
S00916,27,male,47,auditory,4,no,81.0,66.0,52.0,yes,medium,15,10,C
S00917,28,female,17,reading/writing,5,no,77.0,49.0,66.0,yes,medium,12,6,D
S00918,29,male,13,reading/writing,9,no,95.0,91.0,96.0,yes,high,24,10,A
S00919,28,male,41,reading/writing,3,yes,93.0,91.0,76.0,yes,low,7,5,A
S00920,25,female,5,reading/writing,2,no,88.0,93.0,90.0,no,high,27,6,A
S00921,24,male,10,auditory,17,no,96.0,98.0,67.0,no,medium,1,7,A
S00922,27,female,23,kinesthetic,13,yes,95.0,86.0,58.0,no,medium,8,8,A
S00923,20,male,28,reading/writing,0,no,85.0,68.0,76.0,yes,medium,8,5,C
S00924,19,female,28,auditory,17,yes,87.0,64.0,62.0,no,low,22,7,C
S00925,19,other,44,visual,8,yes,54.0,73.0,58.0,no,low,5,4,B
S00926,20,female,7,kinesthetic,2,no,55.0,86.0,87.0,yes,high,9,6,A
S00927,23,female,9,visual,4,no,85.0,85.0,84.0,yes,low,11,4,A
S00928,29,male,5,auditory,6,yes,94.0,41.0,59.0,yes,medium,5,6,D
S00929,21,female,10,auditory,4,no,96.0,96.0,87.0,no,medium,27,9,A
S00930,22,male,13,auditory,2,no,70.0,86.0,50.0,yes,medium,15,6,A
S00931,28,male,10,kinesthetic,2,no,64.0,42.0,88.0,yes,high,20,8,D
S00932,26,male,42,reading/writing,15,no,82.0,42.0,56.0,no,high,5,5,D
S00933,25,male,39,visual,1,no,67.0,50.0,58.0,no,medium,16,7,D
S00934,28,female,25,visual,7,yes,61.0,59.0,67.0,yes,low,3,8,C
S00935,28,female,43,auditory,4,no,91.0,40.0,69.0,no,low,22,9,D
S00936,22,male,40,visual,18,yes,89.0,56.0,76.0,yes,medium,19,5,C
S00937,21,other,35,kinesthetic,15,yes,86.0,46.0,79.0,no,low,13,7,D
S00938,26,female,18,visual,4,no,92.0,71.0,91.0,yes,medium,11,7,B
S00939,18,female,42,kinesthetic,4,yes,84.0,43.0,58.0,no,low,2,6,D
S00940,25,female,39,auditory,14,yes,61.0,49.0,64.0,no,medium,20,8,D
S00941,18,female,6,visual,6,yes,97.0,63.0,68.0,yes,medium,20,4,C
S00942,23,female,13,auditory,13,no,99.0,75.0,57.0,yes,medium,23,7,B
S00943,27,male,28,visual,7,no,79.0,97.0,66.0,yes,medium,25,10,A
S00944,29,male,27,visual,20,yes,62.0,58.0,95.0,no,low,30,10,C
S00945,29,female,39,visual,1,no,77.0,93.0,98.0,yes,high,22,7,A
S00946,21,male,28,visual,15,yes,52.0,94.0,100.0,yes,medium,5,7,A
S00947,28,male,40,reading/writing,10,no,51.0,61.0,78.0,yes,low,6,4,C
S00948,26,male,32,visual,15,yes,59.0,80.0,78.0,yes,medium,26,7,B
S00949,20,female,18,visual,0,yes,55.0,59.0,59.0,yes,low,25,9,C
S00950,29,male,33,auditory,15,no,63.0,94.0,83.0,no,low,29,7,A
S00951,23,male,16,visual,1,yes,69.0,59.0,82.0,yes,high,10,4,C
S00952,22,male,6,auditory,18,no,83.0,71.0,69.0,no,high,1,8,B
S00953,19,female,9,visual,4,no,100.0,97.0,86.0,yes,medium,1,5,A
S00954,19,male,47,visual,18,no,59.0,100.0,63.0,no,low,0,6,A
S00955,25,male,42,auditory,16,yes,58.0,85.0,62.0,yes,low,26,7,A
S00956,24,male,34,auditory,7,yes,54.0,93.0,100.0,no,high,23,5,A
S00957,23,female,30,kinesthetic,4,yes,69.0,74.0,96.0,no,low,9,5,B
S00958,26,female,15,auditory,5,yes,92.0,63.0,66.0,yes,high,13,9,C
S00959,29,female,27,visual,18,yes,90.0,46.0,88.0,yes,medium,27,4,D
S00960,26,female,17,auditory,4,yes,87.0,81.0,62.0,no,low,20,5,B
S00961,21,female,16,auditory,12,yes,98.0,51.0,92.0,yes,medium,18,7,D
S00962,25,male,11,reading/writing,4,yes,59.0,77.0,78.0,no,low,12,5,B
S00963,23,male,21,kinesthetic,10,yes,85.0,55.0,79.0,yes,medium,5,4,C
S00964,25,female,29,kinesthetic,0,yes,91.0,45.0,62.0,yes,high,28,4,D
S00965,24,female,38,kinesthetic,9,yes,75.0,64.0,97.0,yes,low,7,6,C
S00966,25,male,36,auditory,13,yes,62.0,59.0,80.0,yes,low,2,4,C
S00967,23,male,21,kinesthetic,11,no,98.0,81.0,85.0,yes,medium,7,8,B
S00968,26,female,15,auditory,18,yes,66.0,46.0,69.0,yes,medium,1,8,D
S00969,18,other,38,auditory,5,yes,74.0,86.0,98.0,no,medium,23,6,A
S00970,20,female,26,reading/writing,0,yes,68.0,63.0,95.0,yes,high,4,8,C
S00971,19,male,20,kinesthetic,0,no,65.0,54.0,93.0,no,medium,12,9,D
S00972,28,female,33,visual,17,yes,70.0,65.0,95.0,yes,high,10,6,C
S00973,28,male,8,kinesthetic,16,yes,63.0,97.0,79.0,yes,high,18,8,A
S00974,26,male,25,reading/writing,20,yes,60.0,83.0,88.0,no,high,21,5,B
S00975,19,male,43,reading/writing,3,no,86.0,93.0,63.0,yes,medium,9,5,A
S00976,19,female,14,reading/writing,0,no,61.0,93.0,52.0,yes,low,15,10,A
S00977,21,male,47,reading/writing,11,yes,66.0,91.0,99.0,yes,low,17,8,A
S00978,19,male,8,kinesthetic,3,yes,91.0,50.0,64.0,yes,medium,23,9,D
S00979,18,other,41,visual,7,yes,92.0,82.0,72.0,no,high,7,8,B
S00980,21,male,15,kinesthetic,3,no,61.0,55.0,72.0,no,medium,2,5,C
S00981,25,female,21,reading/writing,13,yes,94.0,61.0,72.0,yes,low,5,7,C
S00982,20,female,18,visual,19,yes,79.0,98.0,84.0,no,high,8,4,A
S00983,23,male,23,auditory,11,no,86.0,77.0,97.0,yes,medium,5,4,B
S00984,19,male,46,auditory,18,no,75.0,64.0,94.0,yes,medium,9,8,C
S00985,25,female,15,reading/writing,1,yes,69.0,66.0,68.0,no,low,23,5,C
S00986,18,male,38,auditory,18,yes,73.0,69.0,66.0,yes,high,0,4,C
S00987,20,male,48,auditory,17,yes,77.0,41.0,85.0,yes,high,15,10,D
S00988,26,male,45,reading/writing,4,no,91.0,65.0,60.0,yes,high,0,7,C
S00989,20,female,48,kinesthetic,19,no,56.0,40.0,80.0,yes,medium,27,7,D
S00990,22,male,37,kinesthetic,20,yes,90.0,85.0,97.0,yes,high,27,7,A
S00991,26,male,22,kinesthetic,0,no,100.0,92.0,80.0,yes,high,21,6,A
S00992,29,female,20,kinesthetic,4,yes,95.0,68.0,82.0,no,low,11,7,C
S00993,19,female,5,visual,17,no,53.0,53.0,50.0,yes,high,26,5,D
S00994,25,male,16,reading/writing,2,no,52.0,89.0,89.0,no,medium,8,7,A
S00995,28,female,32,visual,11,no,82.0,92.0,73.0,yes,medium,10,7,A
S00996,24,female,30,kinesthetic,12,yes,90.0,70.0,74.0,yes,low,28,6,B
S00997,21,other,11,reading/writing,15,no,73.0,48.0,68.0,yes,medium,27,4,D
S00998,20,male,11,kinesthetic,15,no,69.0,85.0,62.0,yes,low,21,5,A
S00999,23,female,22,auditory,14,no,78.0,47.0,68.0,yes,medium,16,9,D
S01000,29,male,14,auditory,15,no,94.0,90.0,73.0,yes,high,30,5,A
S01001,21,female,15,kinesthetic,17,yes,98.0,40.0,50.0,no,low,5,5,D
S01002,20,male,16,visual,6,yes,74.0,85.0,97.0,yes,medium,1,4,A
S01003,23,female,8,kinesthetic,1,yes,53.0,48.0,84.0,no,medium,11,7,D
S01004,22,female,18,visual,13,yes,84.0,60.0,74.0,yes,high,9,8,C
S01005,18,other,23,auditory,19,yes,80.0,50.0,99.0,yes,low,6,5,D
S01006,22,female,34,kinesthetic,2,no,79.0,57.0,69.0,yes,low,11,8,C
S01007,22,female,15,auditory,13,yes,50.0,44.0,85.0,yes,medium,18,6,D
S01008,23,male,24,kinesthetic,0,yes,63.0,99.0,86.0,yes,low,13,4,A
S01009,20,male,24,kinesthetic,17,yes,57.0,99.0,50.0,yes,high,17,5,A
S01010,27,male,9,auditory,2,yes,89.0,55.0,98.0,yes,high,4,4,C
